unicode,name,image_path
U+1F62E U+200D U+1F4A8,⊛ face exhaling,data\emoji_images\U+1F62E U+200D U+1F4A8.png
U+1F925,lying face,data\emoji_images\U+1F925.png
U+1F60C,relieved face,data\emoji_images\U+1F60C.png
U+1F614,pensive face,data\emoji_images\U+1F614.png
U+1F62A,sleepy face,data\emoji_images\U+1F62A.png
U+1F924,drooling face,data\emoji_images\U+1F924.png
U+1F634,sleeping face,data\emoji_images\U+1F634.png
U+1F637,face with medical mask,data\emoji_images\U+1F637.png
U+1F912,face with thermometer,data\emoji_images\U+1F912.png
U+1F915,face with head-bandage,data\emoji_images\U+1F915.png
U+1F922,nauseated face,data\emoji_images\U+1F922.png
U+1F92E,face vomiting,data\emoji_images\U+1F92E.png
U+1F927,sneezing face,data\emoji_images\U+1F927.png
U+1F975,hot face,data\emoji_images\U+1F975.png
U+1F976,cold face,data\emoji_images\U+1F976.png
U+1F974,woozy face,data\emoji_images\U+1F974.png
U+1F635,knocked-out face,data\emoji_images\U+1F635.png
U+1F635 U+200D U+1F4AB,⊛ face with spiral eyes,data\emoji_images\U+1F635 U+200D U+1F4AB.png
U+1F92F,exploding head,data\emoji_images\U+1F92F.png
U+1F920,cowboy hat face,data\emoji_images\U+1F920.png
U+1F973,partying face,data\emoji_images\U+1F973.png
U+1F978,disguised face,data\emoji_images\U+1F978.png
U+1F60E,smiling face with sunglasses,data\emoji_images\U+1F60E.png
U+1F913,nerd face,data\emoji_images\U+1F913.png
U+1F9D0,face with monocle,data\emoji_images\U+1F9D0.png
U+1F615,confused face,data\emoji_images\U+1F615.png
U+1F61F,worried face,data\emoji_images\U+1F61F.png
U+1F641,slightly frowning face,data\emoji_images\U+1F641.png
U+2639,frowning face,data\emoji_images\U+2639.png
U+1F62E,face with open mouth,data\emoji_images\U+1F62E.png
U+1F62F,hushed face,data\emoji_images\U+1F62F.png
U+1F632,astonished face,data\emoji_images\U+1F632.png
U+1F633,flushed face,data\emoji_images\U+1F633.png
U+1F97A,pleading face,data\emoji_images\U+1F97A.png
U+1F626,frowning face with open mouth,data\emoji_images\U+1F626.png
U+1F627,anguished face,data\emoji_images\U+1F627.png
U+1F628,fearful face,data\emoji_images\U+1F628.png
U+1F630,anxious face with sweat,data\emoji_images\U+1F630.png
U+1F625,sad but relieved face,data\emoji_images\U+1F625.png
U+1F622,crying face,data\emoji_images\U+1F622.png
U+1F62D,loudly crying face,data\emoji_images\U+1F62D.png
U+1F631,face screaming in fear,data\emoji_images\U+1F631.png
U+1F616,confounded face,data\emoji_images\U+1F616.png
U+1F623,persevering face,data\emoji_images\U+1F623.png
U+1F61E,disappointed face,data\emoji_images\U+1F61E.png
U+1F613,downcast face with sweat,data\emoji_images\U+1F613.png
U+1F629,weary face,data\emoji_images\U+1F629.png
U+1F62B,tired face,data\emoji_images\U+1F62B.png
U+1F971,yawning face,data\emoji_images\U+1F971.png
U+1F624,face with steam from nose,data\emoji_images\U+1F624.png
U+1F621,pouting face,data\emoji_images\U+1F621.png
U+1F620,angry face,data\emoji_images\U+1F620.png
U+1F92C,face with symbols on mouth,data\emoji_images\U+1F92C.png
U+1F608,smiling face with horns,data\emoji_images\U+1F608.png
U+1F47F,angry face with horns,data\emoji_images\U+1F47F.png
U+1F480,skull,data\emoji_images\U+1F480.png
U+2620,skull and crossbones,data\emoji_images\U+2620.png
U+1F4A9,pile of poo,data\emoji_images\U+1F4A9.png
U+1F921,clown face,data\emoji_images\U+1F921.png
U+1F479,ogre,data\emoji_images\U+1F479.png
U+1F47A,goblin,data\emoji_images\U+1F47A.png
U+1F47B,ghost,data\emoji_images\U+1F47B.png
U+1F47D,alien,data\emoji_images\U+1F47D.png
U+1F47E,alien monster,data\emoji_images\U+1F47E.png
U+1F916,robot,data\emoji_images\U+1F916.png
U+1F63A,grinning cat,data\emoji_images\U+1F63A.png
U+1F638,grinning cat with smiling eyes,data\emoji_images\U+1F638.png
U+1F639,cat with tears of joy,data\emoji_images\U+1F639.png
U+1F63B,smiling cat with heart-eyes,data\emoji_images\U+1F63B.png
U+1F63C,cat with wry smile,data\emoji_images\U+1F63C.png
U+1F63D,kissing cat,data\emoji_images\U+1F63D.png
U+1F640,weary cat,data\emoji_images\U+1F640.png
U+1F63F,crying cat,data\emoji_images\U+1F63F.png
U+1F63E,pouting cat,data\emoji_images\U+1F63E.png
U+1F648,see-no-evil monkey,data\emoji_images\U+1F648.png
U+1F649,hear-no-evil monkey,data\emoji_images\U+1F649.png
U+1F64A,speak-no-evil monkey,data\emoji_images\U+1F64A.png
U+1F48B,kiss mark,data\emoji_images\U+1F48B.png
U+1F48C,love letter,data\emoji_images\U+1F48C.png
U+1F498,heart with arrow,data\emoji_images\U+1F498.png
U+1F49D,heart with ribbon,data\emoji_images\U+1F49D.png
U+1F496,sparkling heart,data\emoji_images\U+1F496.png
U+1F497,growing heart,data\emoji_images\U+1F497.png
U+1F493,beating heart,data\emoji_images\U+1F493.png
U+1F49E,revolving hearts,data\emoji_images\U+1F49E.png
U+1F495,two hearts,data\emoji_images\U+1F495.png
U+1F49F,heart decoration,data\emoji_images\U+1F49F.png
U+2763,heart exclamation,data\emoji_images\U+2763.png
U+1F494,broken heart,data\emoji_images\U+1F494.png
U+2764 U+FE0F U+200D U+1F525,⊛ heart on fire,data\emoji_images\U+2764 U+FE0F U+200D U+1F525.png
U+2764 U+FE0F U+200D U+1FA79,⊛ mending heart,data\emoji_images\U+2764 U+FE0F U+200D U+1FA79.png
U+2764,red heart,data\emoji_images\U+2764.png
U+1F9E1,orange heart,data\emoji_images\U+1F9E1.png
U+1F49B,yellow heart,data\emoji_images\U+1F49B.png
U+1F49A,green heart,data\emoji_images\U+1F49A.png
U+1F499,blue heart,data\emoji_images\U+1F499.png
U+1F49C,purple heart,data\emoji_images\U+1F49C.png
U+1F90E,brown heart,data\emoji_images\U+1F90E.png
U+1F5A4,black heart,data\emoji_images\U+1F5A4.png
U+1F90D,white heart,data\emoji_images\U+1F90D.png
U+1F4AF,hundred points,data\emoji_images\U+1F4AF.png
U+1F4A2,anger symbol,data\emoji_images\U+1F4A2.png
U+1F4A5,collision,data\emoji_images\U+1F4A5.png
U+1F4AB,dizzy,data\emoji_images\U+1F4AB.png
U+1F4A6,sweat droplets,data\emoji_images\U+1F4A6.png
U+1F4A8,dashing away,data\emoji_images\U+1F4A8.png
U+1F573,hole,data\emoji_images\U+1F573.png
U+1F4A3,bomb,data\emoji_images\U+1F4A3.png
U+1F4AC,speech balloon,data\emoji_images\U+1F4AC.png
U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,eye in speech bubble,data\emoji_images\U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F.png
U+1F5E8,left speech bubble,data\emoji_images\U+1F5E8.png
U+1F5EF,right anger bubble,data\emoji_images\U+1F5EF.png
U+1F4AD,thought balloon,data\emoji_images\U+1F4AD.png
U+1F4A4,zzz,data\emoji_images\U+1F4A4.png
U+1F44B,waving hand,data\emoji_images\U+1F44B.png
U+1F91A,raised back of hand,data\emoji_images\U+1F91A.png
U+1F590,hand with fingers splayed,data\emoji_images\U+1F590.png
U+270B,raised hand,data\emoji_images\U+270B.png
U+1F596,vulcan salute,data\emoji_images\U+1F596.png
U+1F44C,OK hand,data\emoji_images\U+1F44C.png
U+1F90C,pinched fingers,data\emoji_images\U+1F90C.png
U+1F90F,pinching hand,data\emoji_images\U+1F90F.png
U+270C,victory hand,data\emoji_images\U+270C.png
U+1F91E,crossed fingers,data\emoji_images\U+1F91E.png
U+1F91F,love-you gesture,data\emoji_images\U+1F91F.png
U+1F918,sign of the horns,data\emoji_images\U+1F918.png
U+1F919,call me hand,data\emoji_images\U+1F919.png
U+1F448,backhand index pointing left,data\emoji_images\U+1F448.png
U+1F449,backhand index pointing right,data\emoji_images\U+1F449.png
U+1F446,backhand index pointing up,data\emoji_images\U+1F446.png
U+1F595,middle finger,data\emoji_images\U+1F595.png
U+1F447,backhand index pointing down,data\emoji_images\U+1F447.png
U+261D,index pointing up,data\emoji_images\U+261D.png
U+1F44D,thumbs up,data\emoji_images\U+1F44D.png
U+1F44E,thumbs down,data\emoji_images\U+1F44E.png
U+270A,raised fist,data\emoji_images\U+270A.png
U+1F44A,oncoming fist,data\emoji_images\U+1F44A.png
U+1F91B,left-facing fist,data\emoji_images\U+1F91B.png
U+1F91C,right-facing fist,data\emoji_images\U+1F91C.png
U+1F44F,clapping hands,data\emoji_images\U+1F44F.png
U+1F64C,raising hands,data\emoji_images\U+1F64C.png
U+1F450,open hands,data\emoji_images\U+1F450.png
U+1F932,palms up together,data\emoji_images\U+1F932.png
U+1F91D,handshake,data\emoji_images\U+1F91D.png
U+1F64F,folded hands,data\emoji_images\U+1F64F.png
U+270D,writing hand,data\emoji_images\U+270D.png
U+1F485,nail polish,data\emoji_images\U+1F485.png
U+1F933,selfie,data\emoji_images\U+1F933.png
U+1F4AA,flexed biceps,data\emoji_images\U+1F4AA.png
U+1F9BE,mechanical arm,data\emoji_images\U+1F9BE.png
U+1F9BF,mechanical leg,data\emoji_images\U+1F9BF.png
U+1F9B5,leg,data\emoji_images\U+1F9B5.png
U+1F9B6,foot,data\emoji_images\U+1F9B6.png
U+1F442,ear,data\emoji_images\U+1F442.png
U+1F9BB,ear with hearing aid,data\emoji_images\U+1F9BB.png
U+1F443,nose,data\emoji_images\U+1F443.png
U+1F9E0,brain,data\emoji_images\U+1F9E0.png
U+1FAC0,anatomical heart,data\emoji_images\U+1FAC0.png
U+1FAC1,lungs,data\emoji_images\U+1FAC1.png
U+1F9B7,tooth,data\emoji_images\U+1F9B7.png
U+1F9B4,bone,data\emoji_images\U+1F9B4.png
U+1F440,eyes,data\emoji_images\U+1F440.png
U+1F441,eye,data\emoji_images\U+1F441.png
U+1F445,tongue,data\emoji_images\U+1F445.png
U+1F444,mouth,data\emoji_images\U+1F444.png
U+1F476,baby,data\emoji_images\U+1F476.png
U+1F9D2,child,data\emoji_images\U+1F9D2.png
U+1F466,boy,data\emoji_images\U+1F466.png
U+1F467,girl,data\emoji_images\U+1F467.png
U+1F9D1,person,data\emoji_images\U+1F9D1.png
U+1F471,person: blond hair,data\emoji_images\U+1F471.png
U+1F468,man,data\emoji_images\U+1F468.png
U+1F9D4,person: beard,data\emoji_images\U+1F9D4.png
U+1F9D4 U+200D U+2642 U+FE0F,⊛ man: beard,data\emoji_images\U+1F9D4 U+200D U+2642 U+FE0F.png
U+1F9D4 U+200D U+2640 U+FE0F,⊛ woman: beard,data\emoji_images\U+1F9D4 U+200D U+2640 U+FE0F.png
U+1F468 U+200D U+1F9B0,man: red hair,data\emoji_images\U+1F468 U+200D U+1F9B0.png
U+1F468 U+200D U+1F9B1,man: curly hair,data\emoji_images\U+1F468 U+200D U+1F9B1.png
U+1F468 U+200D U+1F9B3,man: white hair,data\emoji_images\U+1F468 U+200D U+1F9B3.png
U+1F468 U+200D U+1F9B2,man: bald,data\emoji_images\U+1F468 U+200D U+1F9B2.png
U+1F469,woman,data\emoji_images\U+1F469.png
U+1F469 U+200D U+1F9B0,woman: red hair,data\emoji_images\U+1F469 U+200D U+1F9B0.png
U+1F9D1 U+200D U+1F9B0,person: red hair,data\emoji_images\U+1F9D1 U+200D U+1F9B0.png
U+1F469 U+200D U+1F9B1,woman: curly hair,data\emoji_images\U+1F469 U+200D U+1F9B1.png
U+1F9D1 U+200D U+1F9B1,person: curly hair,data\emoji_images\U+1F9D1 U+200D U+1F9B1.png
U+1F469 U+200D U+1F9B3,woman: white hair,data\emoji_images\U+1F469 U+200D U+1F9B3.png
U+1F9D1 U+200D U+1F9B3,person: white hair,data\emoji_images\U+1F9D1 U+200D U+1F9B3.png
U+1F469 U+200D U+1F9B2,woman: bald,data\emoji_images\U+1F469 U+200D U+1F9B2.png
U+1F9D1 U+200D U+1F9B2,person: bald,data\emoji_images\U+1F9D1 U+200D U+1F9B2.png
U+1F471 U+200D U+2640 U+FE0F,woman: blond hair,data\emoji_images\U+1F471 U+200D U+2640 U+FE0F.png
U+1F471 U+200D U+2642 U+FE0F,man: blond hair,data\emoji_images\U+1F471 U+200D U+2642 U+FE0F.png
U+1F9D3,older person,data\emoji_images\U+1F9D3.png
U+1F474,old man,data\emoji_images\U+1F474.png
U+1F475,old woman,data\emoji_images\U+1F475.png
U+1F64D,person frowning,data\emoji_images\U+1F64D.png
U+1F64D U+200D U+2642 U+FE0F,man frowning,data\emoji_images\U+1F64D U+200D U+2642 U+FE0F.png
U+1F64D U+200D U+2640 U+FE0F,woman frowning,data\emoji_images\U+1F64D U+200D U+2640 U+FE0F.png
U+1F64E,person pouting,data\emoji_images\U+1F64E.png
U+1F64E U+200D U+2642 U+FE0F,man pouting,data\emoji_images\U+1F64E U+200D U+2642 U+FE0F.png
U+1F64E U+200D U+2640 U+FE0F,woman pouting,data\emoji_images\U+1F64E U+200D U+2640 U+FE0F.png
U+1F645,person gesturing NO,data\emoji_images\U+1F645.png
U+1F645 U+200D U+2642 U+FE0F,man gesturing NO,data\emoji_images\U+1F645 U+200D U+2642 U+FE0F.png
U+1F645 U+200D U+2640 U+FE0F,woman gesturing NO,data\emoji_images\U+1F645 U+200D U+2640 U+FE0F.png
U+1F646,person gesturing OK,data\emoji_images\U+1F646.png
U+1F646 U+200D U+2642 U+FE0F,man gesturing OK,data\emoji_images\U+1F646 U+200D U+2642 U+FE0F.png
U+1F646 U+200D U+2640 U+FE0F,woman gesturing OK,data\emoji_images\U+1F646 U+200D U+2640 U+FE0F.png
U+1F481,person tipping hand,data\emoji_images\U+1F481.png
U+1F481 U+200D U+2642 U+FE0F,man tipping hand,data\emoji_images\U+1F481 U+200D U+2642 U+FE0F.png
U+1F481 U+200D U+2640 U+FE0F,woman tipping hand,data\emoji_images\U+1F481 U+200D U+2640 U+FE0F.png
U+1F64B,person raising hand,data\emoji_images\U+1F64B.png
U+1F64B U+200D U+2642 U+FE0F,man raising hand,data\emoji_images\U+1F64B U+200D U+2642 U+FE0F.png
U+1F64B U+200D U+2640 U+FE0F,woman raising hand,data\emoji_images\U+1F64B U+200D U+2640 U+FE0F.png
U+1F9CF,deaf person,data\emoji_images\U+1F9CF.png
U+1F9CF U+200D U+2642 U+FE0F,deaf man,data\emoji_images\U+1F9CF U+200D U+2642 U+FE0F.png
U+1F9CF U+200D U+2640 U+FE0F,deaf woman,data\emoji_images\U+1F9CF U+200D U+2640 U+FE0F.png
U+1F647,person bowing,data\emoji_images\U+1F647.png
U+1F647 U+200D U+2642 U+FE0F,man bowing,data\emoji_images\U+1F647 U+200D U+2642 U+FE0F.png
U+1F647 U+200D U+2640 U+FE0F,woman bowing,data\emoji_images\U+1F647 U+200D U+2640 U+FE0F.png
U+1F926,person facepalming,data\emoji_images\U+1F926.png
U+1F926 U+200D U+2642 U+FE0F,man facepalming,data\emoji_images\U+1F926 U+200D U+2642 U+FE0F.png
U+1F926 U+200D U+2640 U+FE0F,woman facepalming,data\emoji_images\U+1F926 U+200D U+2640 U+FE0F.png
U+1F937,person shrugging,data\emoji_images\U+1F937.png
U+1F937 U+200D U+2642 U+FE0F,man shrugging,data\emoji_images\U+1F937 U+200D U+2642 U+FE0F.png
U+1F937 U+200D U+2640 U+FE0F,woman shrugging,data\emoji_images\U+1F937 U+200D U+2640 U+FE0F.png
U+1F9D1 U+200D U+2695 U+FE0F,health worker,data\emoji_images\U+1F9D1 U+200D U+2695 U+FE0F.png
U+1F468 U+200D U+2695 U+FE0F,man health worker,data\emoji_images\U+1F468 U+200D U+2695 U+FE0F.png
U+1F469 U+200D U+2695 U+FE0F,woman health worker,data\emoji_images\U+1F469 U+200D U+2695 U+FE0F.png
U+1F9D1 U+200D U+1F393,student,data\emoji_images\U+1F9D1 U+200D U+1F393.png
U+1F468 U+200D U+1F393,man student,data\emoji_images\U+1F468 U+200D U+1F393.png
U+1F469 U+200D U+1F393,woman student,data\emoji_images\U+1F469 U+200D U+1F393.png
U+1F9D1 U+200D U+1F3EB,teacher,data\emoji_images\U+1F9D1 U+200D U+1F3EB.png
U+1F468 U+200D U+1F3EB,man teacher,data\emoji_images\U+1F468 U+200D U+1F3EB.png
U+1F469 U+200D U+1F3EB,woman teacher,data\emoji_images\U+1F469 U+200D U+1F3EB.png
U+1F9D1 U+200D U+2696 U+FE0F,judge,data\emoji_images\U+1F9D1 U+200D U+2696 U+FE0F.png
U+1F468 U+200D U+2696 U+FE0F,man judge,data\emoji_images\U+1F468 U+200D U+2696 U+FE0F.png
U+1F469 U+200D U+2696 U+FE0F,woman judge,data\emoji_images\U+1F469 U+200D U+2696 U+FE0F.png
U+1F9D1 U+200D U+1F33E,farmer,data\emoji_images\U+1F9D1 U+200D U+1F33E.png
U+1F468 U+200D U+1F33E,man farmer,data\emoji_images\U+1F468 U+200D U+1F33E.png
U+1F469 U+200D U+1F33E,woman farmer,data\emoji_images\U+1F469 U+200D U+1F33E.png
U+1F9D1 U+200D U+1F373,cook,data\emoji_images\U+1F9D1 U+200D U+1F373.png
U+1F468 U+200D U+1F373,man cook,data\emoji_images\U+1F468 U+200D U+1F373.png
U+1F469 U+200D U+1F373,woman cook,data\emoji_images\U+1F469 U+200D U+1F373.png
U+1F9D1 U+200D U+1F527,mechanic,data\emoji_images\U+1F9D1 U+200D U+1F527.png
U+1F468 U+200D U+1F527,man mechanic,data\emoji_images\U+1F468 U+200D U+1F527.png
U+1F469 U+200D U+1F527,woman mechanic,data\emoji_images\U+1F469 U+200D U+1F527.png
U+1F9D1 U+200D U+1F3ED,factory worker,data\emoji_images\U+1F9D1 U+200D U+1F3ED.png
U+1F468 U+200D U+1F3ED,man factory worker,data\emoji_images\U+1F468 U+200D U+1F3ED.png
U+1F469 U+200D U+1F3ED,woman factory worker,data\emoji_images\U+1F469 U+200D U+1F3ED.png
U+1F9D1 U+200D U+1F4BC,office worker,data\emoji_images\U+1F9D1 U+200D U+1F4BC.png
U+1F468 U+200D U+1F4BC,man office worker,data\emoji_images\U+1F468 U+200D U+1F4BC.png
U+1F469 U+200D U+1F4BC,woman office worker,data\emoji_images\U+1F469 U+200D U+1F4BC.png
U+1F9D1 U+200D U+1F52C,scientist,data\emoji_images\U+1F9D1 U+200D U+1F52C.png
U+1F468 U+200D U+1F52C,man scientist,data\emoji_images\U+1F468 U+200D U+1F52C.png
U+1F469 U+200D U+1F52C,woman scientist,data\emoji_images\U+1F469 U+200D U+1F52C.png
U+1F9D1 U+200D U+1F4BB,technologist,data\emoji_images\U+1F9D1 U+200D U+1F4BB.png
U+1F468 U+200D U+1F4BB,man technologist,data\emoji_images\U+1F468 U+200D U+1F4BB.png
U+1F469 U+200D U+1F4BB,woman technologist,data\emoji_images\U+1F469 U+200D U+1F4BB.png
U+1F9D1 U+200D U+1F3A4,singer,data\emoji_images\U+1F9D1 U+200D U+1F3A4.png
U+1F468 U+200D U+1F3A4,man singer,data\emoji_images\U+1F468 U+200D U+1F3A4.png
U+1F469 U+200D U+1F3A4,woman singer,data\emoji_images\U+1F469 U+200D U+1F3A4.png
U+1F9D1 U+200D U+1F3A8,artist,data\emoji_images\U+1F9D1 U+200D U+1F3A8.png
U+1F468 U+200D U+1F3A8,man artist,data\emoji_images\U+1F468 U+200D U+1F3A8.png
U+1F469 U+200D U+1F3A8,woman artist,data\emoji_images\U+1F469 U+200D U+1F3A8.png
U+1F9D1 U+200D U+2708 U+FE0F,pilot,data\emoji_images\U+1F9D1 U+200D U+2708 U+FE0F.png
U+1F468 U+200D U+2708 U+FE0F,man pilot,data\emoji_images\U+1F468 U+200D U+2708 U+FE0F.png
U+1F469 U+200D U+2708 U+FE0F,woman pilot,data\emoji_images\U+1F469 U+200D U+2708 U+FE0F.png
U+1F9D1 U+200D U+1F680,astronaut,data\emoji_images\U+1F9D1 U+200D U+1F680.png
U+1F468 U+200D U+1F680,man astronaut,data\emoji_images\U+1F468 U+200D U+1F680.png
U+1F469 U+200D U+1F680,woman astronaut,data\emoji_images\U+1F469 U+200D U+1F680.png
U+1F9D1 U+200D U+1F692,firefighter,data\emoji_images\U+1F9D1 U+200D U+1F692.png
U+1F468 U+200D U+1F692,man firefighter,data\emoji_images\U+1F468 U+200D U+1F692.png
U+1F469 U+200D U+1F692,woman firefighter,data\emoji_images\U+1F469 U+200D U+1F692.png
U+1F46E,police officer,data\emoji_images\U+1F46E.png
U+1F46E U+200D U+2642 U+FE0F,man police officer,data\emoji_images\U+1F46E U+200D U+2642 U+FE0F.png
U+1F46E U+200D U+2640 U+FE0F,woman police officer,data\emoji_images\U+1F46E U+200D U+2640 U+FE0F.png
U+1F575,detective,data\emoji_images\U+1F575.png
U+1F575 U+FE0F U+200D U+2642 U+FE0F,man detective,data\emoji_images\U+1F575 U+FE0F U+200D U+2642 U+FE0F.png
U+1F575 U+FE0F U+200D U+2640 U+FE0F,woman detective,data\emoji_images\U+1F575 U+FE0F U+200D U+2640 U+FE0F.png
U+1F482,guard,data\emoji_images\U+1F482.png
U+1F482 U+200D U+2642 U+FE0F,man guard,data\emoji_images\U+1F482 U+200D U+2642 U+FE0F.png
U+1F482 U+200D U+2640 U+FE0F,woman guard,data\emoji_images\U+1F482 U+200D U+2640 U+FE0F.png
U+1F977,ninja,data\emoji_images\U+1F977.png
U+1F477,construction worker,data\emoji_images\U+1F477.png
U+1F477 U+200D U+2642 U+FE0F,man construction worker,data\emoji_images\U+1F477 U+200D U+2642 U+FE0F.png
U+1F477 U+200D U+2640 U+FE0F,woman construction worker,data\emoji_images\U+1F477 U+200D U+2640 U+FE0F.png
U+1F934,prince,data\emoji_images\U+1F934.png
U+1F478,princess,data\emoji_images\U+1F478.png
U+1F473,person wearing turban,data\emoji_images\U+1F473.png
U+1F473 U+200D U+2642 U+FE0F,man wearing turban,data\emoji_images\U+1F473 U+200D U+2642 U+FE0F.png
U+1F473 U+200D U+2640 U+FE0F,woman wearing turban,data\emoji_images\U+1F473 U+200D U+2640 U+FE0F.png
U+1F472,person with skullcap,data\emoji_images\U+1F472.png
U+1F9D5,woman with headscarf,data\emoji_images\U+1F9D5.png
U+1F935,person in tuxedo,data\emoji_images\U+1F935.png
U+1F935 U+200D U+2642 U+FE0F,man in tuxedo,data\emoji_images\U+1F935 U+200D U+2642 U+FE0F.png
U+1F935 U+200D U+2640 U+FE0F,woman in tuxedo,data\emoji_images\U+1F935 U+200D U+2640 U+FE0F.png
U+1F470,person with veil,data\emoji_images\U+1F470.png
U+1F470 U+200D U+2642 U+FE0F,man with veil,data\emoji_images\U+1F470 U+200D U+2642 U+FE0F.png
U+1F470 U+200D U+2640 U+FE0F,woman with veil,data\emoji_images\U+1F470 U+200D U+2640 U+FE0F.png
U+1F930,pregnant woman,data\emoji_images\U+1F930.png
U+1F931,breast-feeding,data\emoji_images\U+1F931.png
U+1F469 U+200D U+1F37C,woman feeding baby,data\emoji_images\U+1F469 U+200D U+1F37C.png
U+1F468 U+200D U+1F37C,man feeding baby,data\emoji_images\U+1F468 U+200D U+1F37C.png
U+1F9D1 U+200D U+1F37C,person feeding baby,data\emoji_images\U+1F9D1 U+200D U+1F37C.png
U+1F47C,baby angel,data\emoji_images\U+1F47C.png
U+1F385,Santa Claus,data\emoji_images\U+1F385.png
U+1F936,Mrs. Claus,data\emoji_images\U+1F936.png
U+1F9D1 U+200D U+1F384,mx claus,data\emoji_images\U+1F9D1 U+200D U+1F384.png
U+1F9B8,superhero,data\emoji_images\U+1F9B8.png
U+1F9B8 U+200D U+2642 U+FE0F,man superhero,data\emoji_images\U+1F9B8 U+200D U+2642 U+FE0F.png
U+1F9B8 U+200D U+2640 U+FE0F,woman superhero,data\emoji_images\U+1F9B8 U+200D U+2640 U+FE0F.png
U+1F9B9,supervillain,data\emoji_images\U+1F9B9.png
U+1F9B9 U+200D U+2642 U+FE0F,man supervillain,data\emoji_images\U+1F9B9 U+200D U+2642 U+FE0F.png
U+1F9B9 U+200D U+2640 U+FE0F,woman supervillain,data\emoji_images\U+1F9B9 U+200D U+2640 U+FE0F.png
U+1F9D9,mage,data\emoji_images\U+1F9D9.png
U+1F9D9 U+200D U+2642 U+FE0F,man mage,data\emoji_images\U+1F9D9 U+200D U+2642 U+FE0F.png
U+1F9D9 U+200D U+2640 U+FE0F,woman mage,data\emoji_images\U+1F9D9 U+200D U+2640 U+FE0F.png
U+1F9DA,fairy,data\emoji_images\U+1F9DA.png
U+1F9DA U+200D U+2642 U+FE0F,man fairy,data\emoji_images\U+1F9DA U+200D U+2642 U+FE0F.png
U+1F9DA U+200D U+2640 U+FE0F,woman fairy,data\emoji_images\U+1F9DA U+200D U+2640 U+FE0F.png
U+1F9DB,vampire,data\emoji_images\U+1F9DB.png
U+1F9DB U+200D U+2642 U+FE0F,man vampire,data\emoji_images\U+1F9DB U+200D U+2642 U+FE0F.png
U+1F9DB U+200D U+2640 U+FE0F,woman vampire,data\emoji_images\U+1F9DB U+200D U+2640 U+FE0F.png
U+1F9DC,merperson,data\emoji_images\U+1F9DC.png
U+1F9DC U+200D U+2642 U+FE0F,merman,data\emoji_images\U+1F9DC U+200D U+2642 U+FE0F.png
